"NT_GER","QE_I08","QE_I04","QE_I05"
91.8,"F","E","F"
89.9,"E","E","E"
88.7,"E","E","E"
88.6,"F","E","E"
88.5,"F","F","F"
87.8,"F","F","B"
86.5,"E","F","F"
85.9,"E","E","E"
85.3,"D","F","E"
84.8,"F","E","E"
84.8,"D","E","E"
84,"D","F","D"
83.5,"F","E","E"
82.7,"C","D","D"
82.6,"E","C","C"
82.5,"C","E","A"
82.3,"D","D","D"
82.3,"E","D","E"
81.1,"E","D","E"
81,"D","D","D"
80.8,"A","E","E"
80.8,"D","D","F"
80.5,"C","B","F"
80.4,"E","E","D"
80.4,"A","A","D"
80.3,"F","E","E"
80.3,"A","B","E"
80.2,"E","C","F"
80.1,"F","C","F"
80.1,"A","D","D"
79.9,"D","B","D"
79.7,"E","D","D"
79.6,"B","D","D"
79.6,"A","B","B"
79.5,"B","D","F"
79.4,"B","E","E"
79.2,"C","C","F"
79,"B","D","E"
79,"B","E","E"
79,"F","E","F"
79,"F","E","D"
78.9,"E","E","E"
78.6,"C","D","D"
78.1,"D","D","D"
78.1,"A","B","D"
77.9,"C","D","D"
77.8,"E","E","E"
77.8,"B","D","D"
77.8,"C","E","E"
77.8,"C","D","F"
77.6,"E","E","E"
77.6,"D","D","E"
77.6,"C","F","E"
77.5,"A","E","B"
77.5,"E","F","F"
77.4,"B","C","F"
77.4,"F","E","F"
77.3,"B","A","B"
77.3,"A","A","B"
77.2,"B","D","D"
77,"A","B","C"
77,"C","B","B"
77,"E","E","F"
77,"F","D","F"
76.9,"B","B","D"
76.9,"F","E","E"
76.8,"F","D","E"
76.7,"F","B","E"
76.6,"A","B","D"
76.6,"B","E","E"
76.6,"A","B","D"
76.4,"C","C","C"
76.4,"F","F","F"
76.4,"E","D","D"
76.4,"F","F","F"
76.3,"C","B","B"
76.3,"B","D","D"
76.1,"C","E","D"
76.1,"D","E","D"
76,"A","B","B"
75.8,"A","C","B"
75.7,"E","E","E"
75.7,"C","D","E"
75.6,"D","B","F"
75.4,"E","A","D"
75.4,"A","A","B"
75.3,"E","D","D"
75.3,"E","C","D"
75.2,"B","C","D"
75.1,"F","F","F"
75,"A","B","B"
75,"B","D","D"
75,"B","B","B"
74.9,"D","D","D"
74.9,"E","F","E"
74.7,"C","E","D"
74.7,"D","C","D"
74.7,"C","D","D"
74.7,"G","F","F"
74.6,"A","E","D"
74.6,"A","D","D"
74.6,"C","D","D"
74.5,"A","C","B"
74.4,"A","A","C"
74.3,"E","C","B"
74.3,"D","D","D"
74.1,"F","E","F"
74.1,"B","D","D"
74.1,"B","E","B"
74,"C","E","E"
74,"A","C","C"
74,"A","E","E"
73.9,"A","D","C"
73.9,"C","B","E"
73.9,"A","B","B"
73.8,"E","F","F"
73.7,"E","E","E"
73.6,"F","F","D"
73.6,"E","F","F"
73.6,"E","D","D"
73.6,"F","F","E"
73.5,"C","D","D"
73.5,"C","D","D"
73.4,"B","C","D"
73.4,"D","D","D"
73.4,"A","B","B"
73.4,"A","B","A"
73.4,"B","B","D"
73.4,"D","F","F"
73.3,"E","E","E"
73.3,"A","A","B"
73.2,"F","F","E"
73.2,"F","E","E"
73.1,"A","C","C"
73.1,"F","E","E"
73,"A","B","B"
73,"D","C","E"
72.9,"B","E","E"
72.8,"B","D","B"
72.8,"E","F","F"
72.7,"C","A","D"
72.6,"B","B","A"
72.6,"D","E","F"
72.5,"B","B","B"
72.4,"B","E","E"
72.4,"B","E","E"
72.4,"F","E","E"
72.3,"A","B","D"
72.2,"A","D","D"
72.2,"A","B","B"
72.1,"B","D","E"
72,"D","E","D"
72,"F","E","E"
71.9,"D","F","C"
71.9,"F","F","D"
71.8,"A","E","D"
71.8,"C","E","E"
71.8,"B","B","B"
71.7,"A","D","B"
71.7,"E","F","D"
71.6,"C","D","D"
71.6,"B","D","D"
71.6,"F","F","F"
71.6,"F","E","F"
71.6,"B","D","B"
71.5,"C","E","E"
71.5,"A","C","B"
71.5,"A","E","D"
71.4,"B","E","E"
71.4,"D","E","E"
71.4,"E","A","B"
71.4,"A","E","E"
71.3,"B","A","B"
71.3,"C","D","D"
71.3,"C","A","B"
71.3,"C","B","C"
71.2,"A","C","D"
71.2,"B","E","E"
71.2,"A","B","D"
71.2,"B","A","F"
71.2,"B","D","D"
71.1,"E","D","E"
